Educ,YEAR,Age_grp,w.obs,obs,lnNrmWealth.mean,lnNrmWealth.sd,lnPermIncome.mean,lnPermIncome.sd
NoHS,2019,"(30,35]",1141944.9431444297,175,-0.7119048352635383,1.6830874007241892,3.731028002089417,0.43279048584380725
NoHS,2019,"(35,40]",837788.2244907671,181,-1.547199457589292,1.6852880098441347,3.6433015659432333,0.6355659052161445
NoHS,2019,"(40,45]",1107738.7862312796,234,-0.4905190869357807,1.664612120616437,3.668720981569862,0.6959202573595418
NoHS,2019,"(45,50]",912538.7202946113,185,-0.39461852519760415,2.1634130049244176,3.5750015908532222,0.8440586074035187
NoHS,2019,"(50,55]",983379.917424651,242,-0.23292409844069478,1.9539556460733556,3.760475139332919,0.8275710965507098
NoHS,2019,"(55,60]",1048246.6718477737,217,-0.9551557912569837,2.770934968561909,3.382266493346184,0.8115906143797392
NoHS,2019,"(60,65]",1256080.6649892929,232,-0.06872994542051783,2.5752980163430714,3.2107546981337185,0.824051732713225
NoHS,2019,"(65,70]",1073084.8665872975,195,-0.7721224901422759,2.665558910990481,3.120462185579404,0.6970880919119433
NoHS,2019,"(70,75]",1016993.1011699715,170,0.4609131486795914,1.9879210690143307,3.2646263763367904,0.8856151621624992
NoHS,2019,"(75,80]",926378.7900077197,125,0.5572254053939256,2.2283004306746554,3.355323758862174,0.7045289820101651
NoHS,2019,"(80,85]",658781.9197805442,90,0.9862876098157037,2.008673149659707,3.2832966263349506,0.7415636727744017
NoHS,2019,"(85,90]",312934.764797368,45,1.7790754206249773,0.6692416705921591,3.478017026873857,0.659285221816188
NoHS,2019,"(90,95]",249572.0522264276,35,0.7427468472119035,2.3380711763941084,2.9397700507458375,0.7379509453918546
HS,1995,"(15,20]",405183.5703401125,75,-0.20520913582411343,1.4910185922287067,3.0647807427561293,0.8114027334120305
HS,1995,"(20,25]",2555574.4007469327,505,-0.928110551297082,1.6577133299830675,3.4130751703123026,0.758541123818503
HS,1995,"(25,30]",5146765.834334132,934,-0.6571578485781245,1.5692258955944034,3.8263835949521416,0.7037562019456977
HS,1995,"(30,35]",5700289.71157986,1002,-0.15985246696914068,1.3843620891544413,4.003112947458238,0.7391146839172384
HS,1995,"(35,40]",6670937.230763864,1196,-0.038876235905746986,1.4942466093160063,4.092505814602736,0.7330511192474614
HS,1995,"(40,45]",6143890.78860177,1114,0.3557921679019954,1.4766974805854558,4.090960885361143,0.7024019702389268
HS,1995,"(45,50]",5078280.595978454,998,0.47361643504149215,1.2616955980261404,4.163416633415064,0.7332456038197355
HS,1995,"(50,55]",3348521.7536329385,765,0.8733463308450268,1.2913487253263598,4.212692034399787,0.8148364468831031
HS,1995,"(55,60]",3223373.495898321,686,1.1240593401658816,1.1942574099490597,4.113237452911027,0.775270531907679
HS,1995,"(60,65]",3375535.2402021773,707,1.5617928205234146,1.1681053591808288,3.7986178971935454,0.8865789351983844
HS,1995,"(65,70]",2903451.0549710765,601,0.9733199448085134,1.5635449385091356,3.5725903072523977,0.8238632220196852
HS,1995,"(70,75]",2604192.2251031925,495,1.8329926767774192,1.5928972946152535,3.291752377088567,1.0682296105997862
HS,1995,"(75,80]",2186845.192441866,377,1.8197460345949805,1.1697917814210943,3.35170265866969,0.7317376133238971
HS,1995,"(80,85]",819584.5100006588,147,1.7378254405989557,1.1998959261766964,3.375985522770046,0.7899001615293035
HS,1995,"(85,90]",242682.28680042375,61,1.8873084815857513,1.1075655323490528,3.3992945365440685,0.7189479362726613
HS,1995,"(90,95]",67759.95158456007,20,-1.0659692907188254,2.860327545423603,3.325589835491458,0.49466796173723415
HS,1998,"(15,20]",936456.4833376225,201,-0.06950945483533402,2.101042728226923,2.653060741076726,0.9450986469017553
HS,1998,"(20,25]",2229923.624394285,414,-1.0393118005149133,1.486328736616409,3.4541668873412577,0.7270980872168943
HS,1998,"(25,30]",4127608.3891252037,657,-0.5517087940222286,1.624376424595003,3.8180158067773897,0.7565018080278514
HS,1998,"(30,35]",4772145.970456369,775,-0.2926931090690302,1.72624555206265,4.011470770690087,0.9441076433580677
HS,1998,"(35,40]",6610482.029726269,1116,0.05806707463232016,1.5059603410073843,4.159348051239535,0.652393104527096
HS,1998,"(40,45]",7281530.992119054,1235,0.30897584948355544,1.4296130564323049,4.196861643363797,0.6484515864574064
HS,1998,"(45,50]",4934260.8202480115,959,0.5172261214719173,1.4063286721070805,4.166232973484443,0.6887152919245189
HS,1998,"(50,55]",4347859.938514544,891,0.6439960902356999,1.5168796933651174,4.223024485976914,0.6487695207788087
HS,1998,"(55,60]",4090333.611252252,778,1.1073405020806355,1.40063731576631,3.931458938519522,0.7485317108283077
HS,1998,"(60,65]",2866672.2931679897,561,1.0095129004732257,1.5668854141798028,3.9809427107569593,0.7973687422376495
HS,1998,"(65,70]",3309847.3118121247,590,1.6974966631286674,1.302267195377261,3.706894710629783,0.8155311689318175
HS,1998,"(70,75]",2485649.289038496,463,1.6789029499186805,1.36242534555599,3.527811690711823,0.7341062431302253
HS,1998,"(75,80]",2156839.6009009127,376,1.8498550703323577,1.044958767299417,3.5516231449950624,0.7287091511876651
HS,1998,"(80,85]",1272709.8015712986,240,1.889589914168925,1.2768634533383145,3.503885065889149,0.747051673927207
HS,1998,"(85,90]",706646.6992886716,112,1.976120955180488,0.9868253228257564,3.339015187994209,0.7514010788772606
HS,1998,"(90,95]",171275.7819209238,42,1.4736111110193064,2.375989263707492,2.7258595423573664,0.44454706847229303
HS,2001,"(15,20]",709148.1786147514,110,-0.9211817217057707,2.308010831514721,3.0088428520359742,0.9399223698739838
HS,2001,"(20,25]",2913958.7390590156,461,-1.0034042662702638,1.6016868919652298,3.6784224791726334,0.7075149436528458
HS,2001,"(25,30]",4446422.575448674,734,-0.5302270361485478,1.3994366545545094,4.0078751924024,0.6506367343882156
HS,2001,"(30,35]",4585875.2940263655,764,-0.3553137555091987,1.5021872574511066,4.109174520670401,0.6057712357105026
HS,2001,"(35,40]",5977438.169939467,1014,-0.05244059305574879,1.518103405395931,4.164980656903213,0.6617772383185573
HS,2001,"(40,45]",7041375.437250684,1259,0.2678214216419046,1.519974386259527,4.2060599418382,0.7605236229562812
HS,2001,"(45,50]",6806553.86208579,1170,0.4911364092868429,1.5726693274660961,4.204127686185919,0.752286312086915
HS,2001,"(50,55]",4082826.320355852,835,0.6764789016088836,1.492035028585406,4.274644706544821,0.7317089005444186
HS,2001,"(55,60]",3998374.490953498,757,1.160421602421786,1.4690655894382938,4.123519678690886,0.7523359069711908
HS,2001,"(60,65]",2890615.5665085977,551,1.3425691638420005,1.4053624262212392,3.960386089576335,0.7544639126573961
HS,2001,"(65,70]",2748617.035158045,461,1.6316393059737233,1.1251801781233501,3.9359732197096187,0.7155901990479813
HS,2001,"(70,75]",2758113.0426280173,460,1.7878394111529383,1.346303150149443,3.7859210482054166,0.8744484006057192
HS,2001,"(75,80]",2291626.3494644193,378,1.7092215677300764,1.4694602567667836,3.5582698467959615,0.7896408781448281
HS,2001,"(80,85]",1624518.3361499037,259,1.6102450509318342,1.5731643163932258,3.604228564029418,0.6722116617249186
HS,2001,"(85,90]",494192.6291203943,78,1.816172239023587,1.3804611535127578,3.3537954080648213,0.8958527316710099
HS,2001,"(90,95]",196472.75748445938,27,2.0290529506899895,1.1791389119031108,3.0097328780800403,0.6984019496370052
HS,2004,"(15,20]",623934.5057026629,96,-0.7469160605259013,1.4020131160690208,2.907658211226857,0.8534400219903725
